equipment_code,line_code,operation_code,equipment_name,equipment_type,creator_binding_id,sort_order,status
SMT01_E001,SMT01,SMT_OP01,SVP_750_CONV01,CONVEYOR,/World/ProdLine/a_L_SMT_HST_Assy/t_id_L_SMT_HST_S01/id_L_SMT_HST_S01/L_SMT_HST/L_SMT_HST/ASSET_PROD/asset_L_SMT_HST_PROD/t_id_SVP_750_CONV01,1,ACTIVE
SMT01_E002,SMT01,SMT_OP01,MSS_L_T3F3_LM01,OTHER,/World/ProdLine/a_L_SMT_HST_Assy/t_id_L_SMT_HST_S01/id_L_SMT_HST_S01/L_SMT_HST/L_SMT_HST/ASSET_PROD/asset_L_SMT_HST_PROD/t_id_MSS_L_T3F3_LM01,2,ACTIVE
SMT01_E003,SMT01,SMT_OP01,SIV_200_CONV02,CONVEYOR,/World/ProdLine/a_L_SMT_HST_Assy/t_id_L_SMT_HST_S01/id_L_SMT_HST_S01/L_SMT_HST/L_SMT_HST/ASSET_PROD/asset_L_SMT_HST_PROD/t_id_SIV_200_CONV02,3,ACTIVE
SMT01_E004,SMT01,SMT_OP02,SBC_200A_CONV03,CONVEYOR,/World/ProdLine/a_L_SMT_HST_Assy/t_id_L_SMT_HST_S01/id_L_SMT_HST_S01/L_SMT_HST/L_SMT_HST/ASSET_PROD/asset_L_SMT_HST_PROD/t_id_SBC_200A_CONV03,1,ACTIVE
SMT01_E005,SMT01,SMT_OP02,NeoHorizon_03ix_SP01,OTHER,/World/ProdLine/a_L_SMT_HST_Assy/t_id_L_SMT_HST_S01/id_L_SMT_HST_S01/L_SMT_HST/L_SMT_HST/ASSET_PROD/asset_L_SMT_HST_PROD/t_id_NeoHorizon_03ix_SP01,2,ACTIVE
SMT01_E006,SMT01,SMT_OP03,SBC_200A_CONV04,CONVEYOR,/World/ProdLine/a_L_SMT_HST_Assy/t_id_L_SMT_HST_S01/id_L_SMT_HST_S01/L_SMT_HST/L_SMT_HST/ASSET_PROD/asset_L_SMT_HST_PROD/t_id_SBC_200A_CONV04,1,ACTIVE
SMT01_E007,SMT01,SMT_OP03,TR7007L_SII_Plus_SPI01,AOI,/World/ProdLine/a_L_SMT_HST_Assy/t_id_L_SMT_HST_S01/id_L_SMT_HST_S01/L_SMT_HST/L_SMT_HST/ASSET_PROD/asset_L_SMT_HST_PROD/t_id_TR7007L_SII_Plus_SPI01,2,ACTIVE
SMT01_E008,SMT01,SMT_OP03,SWT_200A_CONV05,CONVEYOR,/World/ProdLine/a_L_SMT_HST_Assy/t_id_L_SMT_HST_S01/id_L_SMT_HST_S01/L_SMT_HST/L_SMT_HST/ASSET_PROD/asset_L_SMT_HST_PROD/t_id_SWT_200A_CONV05,3,ACTIVE
SMT01_E009,SMT01,SMT_OP04,Panasonic_NPM_W2_PP01,ROBOT,/World/ProdLine/a_L_SMT_HST_Assy/t_id_L_SMT_HST_S01/id_L_SMT_HST_S01/L_SMT_HST/L_SMT_HST/ASSET_PROD/asset_L_SMT_HST_PROD/t_id_Panasonic_NPM_W2_PP01,1,ACTIVE
SMT01_E010,SMT01,SMT_OP04,Panasonic_NPM_W2_PP02,ROBOT,/World/ProdLine/a_L_SMT_HST_Assy/t_id_L_SMT_HST_S01/id_L_SMT_HST_S01/L_SMT_HST/L_SMT_HST/ASSET_PROD/asset_L_SMT_HST_PROD/t_id_Panasonic_NPM_W2_PP02,2,ACTIVE
